Issuer Company,Year,Issue Open,Issue Close,Issue Type,Issue Size(Crore Rs.),Issue Price(Rs.),Listing Day Close Price (Rs.)ÿ,Status,Return
Ashoka Buildcon Ltd IPO,2010,24-Sep-10,28-Sep-10,BB,225,324,330.75,1,2.08
Bedmutha Industries Ltd IPO,2010,28-Sep-10,01-Oct-10,BB,91.8,102,179.15,1,75.64
Commercial Engineers & Body Builders Co Ltd IPO,2010,30-Sep-10,05-Oct-10,BB,153,127,112.9,1,-11.1
Oberoi Realty Ltd IPO,2010,06-Oct-10,08-Oct-10,BB,"1,028.61",260,282.9,1,8.81
BS Transcomm Ltd IPO,2010,06-Oct-10,13-Oct-10,BB,190.45,248,381.25,1,53.73
Prestige Estates Projects Ltd IPO,2010,12-Oct-10,14-Oct-10,BB,"1,200.00",183,193.15,1,5.55
Gyscoal Alloys Ltd IPO,2010,13-Oct-10,15-Oct-10,BB,54.67,71,81.65,1,15
Coal India Limited IPO,2010,18-Oct-10,21-Oct-10,BB,"15,199.44",245,342.55,1,39.82
Gravita India Ltd IPO,2010,01-Nov-10,03-Nov-10,BB,45,125,209.7,1,67.76
RPP Infra Projects Ltd IPO,2010,18-Nov-10,22-Nov-10,BB,48.75,75,68.9,1,-8.13
MOIL Limited IPO,2010,26-Nov-10,01-Dec-10,BB,"1,237.51",375,465.05,1,24.01
Ravi Kumar Distilleries Ltd IPO,2010,08-Dec-10,10-Dec-10,BB,73.6,64,80.05,1,25.08
A2Z Maintenance & Engineering Services Ltd IPO,2010,08-Dec-10,10-Dec-10,BB,675,400,328.55,1,-17.86
Punjab & Sind Bank IPO,2010,13-Dec-10,16-Dec-10,BB,470.82,120,127.15,1,5.96
Shekhawati Poly-Yarn Ltd IPO,2010,27-Dec-10,29-Dec-10,FP,36,30,47.5,1,58.33
C Mahendra Exports Ltd IPO,2010,31-Dec-10,06-Jan-11,BB,165,110,110.75,1,0.68
Omkar Speciality Chemicals Ltd IPO,2011,24-Jan-11,27-Jan-11,BB,79.38,98,46.45,1,-52.6
Sudar Garments Ltd IPO,2011,21-Feb-11,24-Feb-11,BB,69.98,77,113.1,1,46.88
Acropetal Technologies Ltd IPO,2011,21-Feb-11,24-Feb-11,BB,170,90,98.45,1,9.39
Lovable Lingeries Ltd IPO,2011,08-Mar-11,11-Mar-11,BB,93.28,205,249.55,1,21.73
PTC India Financial Services Ltd IPO,2011,16-Mar-11,18-Mar-11,BB,438.76,28,24.9,1,-11.07
Shilpi Cable Technologies Ltd IPO,2011,22-Mar-11,25-Mar-11,BB,55.88,69,48.05,1,-30.36
Muthoot Finance Ltd IPO,2011,18-Apr-11,21-Apr-11,BB,901.25,175,175.9,1,0.51
Paramount Printpackaging Ltd IPO,2011,20-Apr-11,25-Apr-11,BB,45.83,35,27.05,1,-22.71
Future Ventures India Ltd IPO,2011,25-Apr-11,28-Apr-11,BB,750,10,8.2,1,-18
Innoventive Industries Ltd IPO,2011,26-Apr-11,29-Apr-11,BB,219.58,117,94.05,1,-19.62
Servalakshmi Paper Ltd IPO,2011,27-Apr-11,29-Apr-11,BB,60,29,19.05,1,-34.31
Vaswani Industries Ltd IPO,2011,29-Apr-11,03-May-11,BB,49,49,18.4,1,-62.45
Sanghvi Forging & Engineering Ltd IPO,2011,04-May-11,09-May-11,BB,36.9,85,112,1,31.76
Aanjaneya Lifecare Ltd IPO,2011,09-May-11,12-May-11,BB,117,234,311.1,1,32.95
Galaxy Surfactants Ltd IPO,2011,13-May-11,19-May-11,BB,,0,,0,0
Timbor Home Limited IPO,2011,30-May-11,02-Jun-11,BB,23.25,63,91.55,1,45.32
Rushil Decor Ltd IPO,2011,20-Jun-11,23-Jun-11,BB,40.64,72,119.5,1,65.97
Bharatiya Global Infomedia Ltd IPO,2011,11-Jul-11,14-Jul-11,BB,55.1,82,29.9,1,-63.54
Inventure Growth & Securities Ltd IPO,2011,20-Jul-11,22-Jul-11,BB,81.9,117,206.75,1,76.71
L&T Finance Holdings Limited IPO,2011,27-Jul-11,29-Jul-11,BB,"1,245.00",52,50.05,1,-3.75
Tree House Education & Accessories Ltd IPO,2011,10-Aug-11,12-Aug-11,BB,113.83,135,117.6,1,-12.89
Brooks Laboratories Ltd IPO,2011,16-Aug-11,18-Aug-11,BB,63,100,61.5,1,-38.5
SRS Limited IPO,2011,23-Aug-11,26-Aug-11,BB,203,58,33.25,1,-42.67
TD Power Systems Ltd IPO,2011,24-Aug-11,26-Aug-11,BB,227,256,275.25,1,7.52
PG Electroplast Limited IPO,2011,07-Sep-11,12-Sep-11,BB,120.65,210,415.3,1,97.76
Prakash Constrowell Ltd IPO,2011,19-Sep-11,21-Sep-11,BB,60,138,230,1,66.67
Swajas Air Charters Ltd IPO,2011,26-Sep-11,05-Oct-11,BB,,90,,0,0
Tijaria Polypipes Ltd IPO,2011,27-Sep-11,29-Sep-11,FP,60,60,18.6,1,-69
M and B Switchgears Ltd IPO,2011,28-Sep-11,05-Oct-11,BB,93,186,318.4,1,71.18
Onelife Capital Advisors Ltd IPO,2011,28-Sep-11,04-Oct-11,BB,36.85,110,145.95,1,32.68
Flexituff International Ltd IPO,2011,29-Sep-11,05-Oct-11,BB,104.63,155,165.55,1,6.81
Taksheel Solutions Ltd IPO,2011,29-Sep-11,04-Oct-11,BB,82.5,150,58.15,1,-61.23
Indo Thai Securities Limited IPO,2011,30-Sep-11,05-Oct-11,BB,29.6,74,23.15,1,-68.72
Goodwill Hospital & Research Centre Ltd IPO,2011,30-Dec-11,09-Jan-12,BB,,,,0,0
Multi Commodity Exchange of India Ltd IPO,2012,22-Feb-12,24-Feb-12,BB,663.31,"1,032.00",1296.7,1,25.65
National Buildings Construction Corporation Ltd IPO,2012,22-Mar-12,27-Mar-12,BB,127.2,106,96.95,1,-8.54
MT Educare Limited IPO,2012,27-Mar-12,29-Mar-12,BB,99,80,90.35,1,12.94
Tribhovandas Bhimji Zaveri Ltd IPO,2012,24-Apr-12,26-Apr-12,BB,200,120,111,1,-7.5
Samvardhana Motherson Finance Ltd IPO,2012,02-May-12,04-May-12,BB,,,,0,0
Plastene India Limited IPO,2012,09-May-12,15-May-12,BB,,,,0,0
Speciality Restaurants Ltd IPO,2012,16-May-12,18-May-12,BB,176.09,150,159.6,1,6.4
VKS Projects Ltd IPO,2012,29-Jun-12,04-Jul-12,BB,55,55,55,1,0
Tara Jewels Limited IPO,2012,21-Nov-12,23-Nov-12,BB,183.49,230,229.9,1,-0.04
Credit Analysis & Research Ltd IPO,2012,07-Dec-12,11-Dec-12,BB,539.98,750,922.55,1,23.01
PC Jeweller Ltd IPO,2012,10-Dec-12,12-Dec-12,BB,609.3,135,149.2,1,10.52
Bharti Infratel Limited IPO,2012,11-Dec-12,14-Dec-12,BB,"4,155.80",220,191.65,1,-12.89
V-Mart Retail Ltd IPO,2013,01-Feb-13,05-Feb-13,BB,94.42,210,203.3,1,-3.19
Sai Silks (Kalamandir) Ltd IPO,2013,11-Feb-13,13-Feb-13,BB,,,,0,0
Repco Home Finance Ltd IPO,2013,13-Mar-13,15-Mar-13,BB,270.39,172,161.8,1,-5.93
Scotts Garments Ltd IPO,2013,25-Apr-13,03-May-13,BB,,,,0,0
Just Dial Ltd IPO,2013,20-May-13,22-May-13,BB,919.14,530,612.35,1,15.54
Loha Ispaat Ltd IPO,2014,11-Mar-14,25-Mar-14,BB,,,,0,0
Wonderla Holidays Ltd IPO,2014,21-Apr-14,23-Apr-14,BB,181.25,125,157.8,1,26.24
Snowman Logistics Ltd IPO,2014,26-Aug-14,28-Aug-14,BB,197.4,47,79.8,1,69.79
Sharda Cropchem Ltd IPO,2014,05-Sep-14,09-Sep-14,BB,351.86,156,230.95,1,48.04
Shemaroo Entertainment Ltd IPO,2014,16-Sep-14,18-Sep-14,BB,120,170,171,1,0.59
Monte Carlo Fashions Limited IPO,2014,03-Dec-14,05-Dec-14,BB,350.43,645,567.3,1,-12.05
NCML Industries Ltd IPO,2014,29-Dec-14,09-Jan-15,BB,,,,0,0
Ortel Communications Ltd IPO,2015,03-Mar-15,05-Mar-15,BB,66.11,181,162.25,1,-10.36
Adlabs Entertainment Ltd IPO,2015,10-Mar-15,12-Mar-15,BB,365.87,180,191.5,1,6.39
Inox Wind Limited IPO,2015,18-Mar-15,20-Mar-15,BB,"1,020.52",325,438.4,1,34.89
VRL Logistics Ltd IPO,2015,15-Apr-15,17-Apr-15,BB,473.88,205,294.1,1,43.46
MEP Infrastructure Developers Ltd IPO,2015,21-Apr-15,23-Apr-15,BB,324,63,58.4,1,-7.3
UFO Moviez Ltd IPO,2015,28-Apr-15,30-Apr-15,BB,600,625,597.3,1,-4.43
PNC Infratech Limited IPO,2015,08-May-15,12-May-15,BB,488.44,378,360.5,1,-4.63
Manpasand Beverages Ltd IPO,2015,24-Jun-15,26-Jun-15,BB,400,320,327.75,1,2.42
Syngene International Ltd IPO,2015,27-Jul-15,29-Jul-15,BB,550,250,310.55,1,24.22
Power Mech Projects Ltd IPO,2015,07-Aug-15,11-Aug-15,BB,273.22,640,580,1,-9.38
Navkar Corporation Limited IPO,2015,24-Aug-15,26-Aug-15,BB,600,155,166.85,1,7.65
Shree Pushkar Chemicals and Fertilisers Ltd IPO,2015,25-Aug-15,27-Aug-15,BB,70,65,63.05,1,-3
Pennar Engineered Building Systems Ltd IPO,2015,25-Aug-15,27-Aug-15,BB,156.19,178,169.5,1,-4.78
Prabhat Dairy Limited IPO,2015,28-Aug-15,04-Sep-15,BB,356.19,115,115.95,1,0.83
Sadbhav Infrastructure Project Limited IPO,2015,31-Aug-15,02-Sep-15,BB,491.66,103,106.2,1,3.11
Coffee Day Enterprises Ltd IPO,2015,14-Oct-15,16-Oct-15,BB,"1,150.00",328,271,1,-17.38
InterGlobe Aviation Ltd IPO,2015,27-Oct-15,29-Oct-15,BB,"3,018.24",765,877.25,1,14.67
S H Kelkar & Company Ltd IPO,2015,28-Oct-15,30-Oct-15,BB,508.17,180,209.85,1,16.58
Dr. Lal PathLabs Limited IPO,2015,08-Dec-15,10-Dec-15,BB,638,550,825,1,50
Alkem Laboratories Limited IPO,2015,08-Dec-15,10-Dec-15,BB,"1,349.61","1,050.00",1381.7,1,31.59
Narayana Hrudayalaya Ltd IPO,2015,17-Dec-15,21-Dec-15,BB,613.08,250,336.95,1,34.78
Precision Camshafts Ltd IPO,2016,27-Jan-16,29-Jan-16,BB,410,186,177.45,1,-4.6
TeamLease Services Ltd IPO,2016,02-Feb-16,04-Feb-16,BB,423.68,850,1032,1,21.41
Quick Heal Technologies Ltd IPO,2016,08-Feb-16,10-Feb-16,BB,451.25,321,253.85,1,-20.92
Healthcare Global Enterprises Ltd IPO,2016,16-Mar-16,18-Mar-16,BB,649.64,218,171,1,-21.56
Bharat Wire Ropes Ltd IPO,2016,18-Mar-16,22-Mar-16,BB,70,45,45.55,1,1.22
Infibeam Incorporation Ltd IPO,2016,21-Mar-16,23-Mar-16,BB,450,432,445.75,1,3.18
Equitas Holdings Limited IPO,2016,05-Apr-16,07-Apr-16,BB,"2,175.00",110,135.2,1,22.91
Thyrocare Technologies Ltd IPO,2016,27-Apr-16,29-Apr-16,BB,479.21,446,618.8,1,38.74
Ujjivan Financial Services Ltd IPO,2016,28-Apr-16,02-May-16,BB,887.69,210,231.55,1,10.26
Parag Milk Foods Ltd IPO,2016,04-May-16,11-May-16,BB,751.78,215,247,1,14.88
Mahanagar Gas Limited IPO,2016,21-Jun-16,23-Jun-16,BB,"1,039.64",421,520.3,1,23.59
Quess Corp Ltd IPO,2016,29-Jun-16,01-Jul-16,BB,400,317,503.1,1,58.71
L&T Infotech Ltd IPO,2016,11-Jul-16,13-Jul-16,BB,"1,236.00",710,697.6,1,-1.75
Advanced Enzyme Technologies Ltd IPO,2016,20-Jul-16,22-Jul-16,BB,411.49,896,1178.1,1,31.48
Dilip Buildcon Ltd IPO,2016,01-Aug-16,03-Aug-16,BB,653.98,219,251.75,1,14.95
S P Apparels Ltd IPO,2016,02-Aug-16,04-Aug-16,BB,239.12,268,288.75,1,7.74
RBL Bank Ltd IPO,2016,19-Aug-16,23-Aug-16,BB,"1,212.97",225,299.4,1,33.07
L&T Technology Services Ltd IPO,2016,12-Sep-16,15-Sep-16,BB,894.4,860,869,1,1.05
G N A Axles Ltd IPO,2016,14-Sep-16,16-Sep-16,BB,130.41,207,245.05,1,18.38
ICICI Prudential Life Insurance Company Ltd IPO,2016,19-Sep-16,21-Sep-16,BB,"6,056.79",334,297.55,1,-10.91
HPL Electric & Power Ltd IPO,2016,22-Sep-16,26-Sep-16,BB,361,202,189.3,1,-6.29
Endurance Technologies Ltd IPO,2016,05-Oct-16,07-Oct-16,BB,"1,161.73",472,646.9,1,37.06
PNB Housing Finance Ltd IPO,2016,25-Oct-16,27-Oct-16,BB,"3,000.75",775,891.15,1,14.99
Varun Beverages Ltd IPO,2016,26-Oct-16,28-Oct-16,BB,"1,112.50",445,459.5,1,3.26
GreenSignal Bio Pharma Ltd IPO,2016,09-Nov-16,22-Nov-16,BB,,,,0,0
Sheela Foam Ltd IPO,2016,29-Nov-16,01-Dec-16,BB,510,730,1032,1,41.37
Laurus Labs Ltd IPO,2016,06-Dec-16,08-Dec-16,BB,"1,331.80",428,480.4,1,12.24
BSE Limited IPO,2017,23-Jan-17,25-Jan-17,BB,"1,243.43",806,1069.2,1,32.66
Music Broadcast Ltd IPO,2017,06-Mar-17,08-Mar-17,BB,488.53,333,372.9,1,11.98
Avenue Supermarts Limited IPO,2017,08-Mar-17,10-Mar-17,BB,"1,870.00",299,641.6,1,114.58
CL Educate Ltd IPO,2017,20-Mar-17,22-Mar-17,BB,238.95,502,422.1,1,-15.92
Shankara Building Products Ltd IPO,2017,22-Mar-17,24-Mar-17,BB,345,460,632.45,1,37.49
S Chand and Company Ltd IPO,2017,26-Apr-17,28-Apr-17,BB,728.56,670,676,1,0.9
IRB InvIT Fund IPO,2017,03-May-17,05-May-17,BB,"5,921.10",102,101.8,1,-0.2
Housing and Urban Development Corporation Ltd IPO,2017,08-May-17,11-May-17,BB,"1,224.35",60,72.55,1,20.92
PSP Projects Ltd IPO,2017,17-May-17,19-May-17,BB,211.68,210,199.5,1,-5
IndiGrid InvIT Fund IPO,2017,17-May-17,19-May-17,BB,"2,250.00",100,98.64,1,-1.36
Tejas Networks Limited IPO,2017,14-Jun-17,16-Jun-17,BB,776.69,257,263.5,1,2.53
Eris Lifesciences Limited IPO,2017,16-Jun-17,20-Jun-17,BB,"1,741.16",603,601.5,1,-0.25
Central Depository Services (India) Limited IPO,2017,19-Jun-17,21-Jun-17,BB,523.99,149,261.6,1,75.57
GTPL Hathway Limited IPO,2017,21-Jun-17,23-Jun-17,BB,484.8,170,171.65,1,0.97
Au Financiers (India) Limited IPO,2017,28-Jun-17,30-Jun-17,BB,"1,912.51",358,541.65,1,51.3
Salasar Techno Engineering Ltd IPO,2017,12-Jul-17,17-Jul-17,FP,35.87,108,262.5,1,143.06
Security and Intelligence Services (India) Ltd IPO,2017,31-Jul-17,02-Aug-17,BB,779.58,815,757.05,1,-7.11
Cochin Shipyard Ltd IPO,2017,01-Aug-17,03-Aug-17,BB,"1,442.01",432,528.15,1,22.26
Apex Frozen Foods Ltd IPO,2017,22-Aug-17,24-Aug-17,BB,152.25,175,212.1,1,21.2
Bharat Road Network Limited IPO,2017,06-Sep-17,08-Sep-17,BB,600.65,205,208.45,1,1.68
Dixon Technologies (India) Limited IPO,2017,06-Sep-17,08-Sep-17,BB,600,"1,766.00",2891.55,1,63.73
Matrimony.com Limited IPO,2017,11-Sep-17,13-Sep-17,BB,496.88,985,904.65,1,-8.16
Capacit'e Infraprojects Limited IPO,2017,13-Sep-17,15-Sep-17,BB,400,250,342.55,1,37.02
ICICI Lombard General Insurance Company Ltd IPO,2017,15-Sep-17,19-Sep-17,BB,"5,700.94",661,681.2,1,3.06
SBI Life Insurance Company Ltd IPO,2017,20-Sep-17,22-Sep-17,BB,"8,400.00",700,707.55,1,1.08
Prataap Snacks Limited IPO,2017,22-Sep-17,26-Sep-17,BB,481.56,938,1180.65,1,25.87
Godrej Agrovet Limited IPO,2017,04-Oct-17,06-Oct-17,BB,"1,157.31",460,595.65,1,29.49
MAS Financial Services Ltd IPO,2017,06-Oct-17,10-Oct-17,BB,460.04,459,654.4,1,42.57
Indian Energy Exchange Ltd IPO,2017,09-Oct-17,11-Oct-17,BB,"1,000.73","1,650.00",1629.15,1,-1.26
General Insurance Corporation of India IPO,2017,11-Oct-17,13-Oct-17,BB,"11,175.84",912,874.3,1,-4.13
Reliance Nippon Life Asset Management Ltd IPO,2017,25-Oct-17,27-Oct-17,BB,"1,542.24",252,284.4,1,12.86
Mahindra Logistics Limited IPO,2017,31-Oct-17,02-Nov-17,BB,829.36,429,429.5,1,0.12
The New India Assurance Company Limited IPO,2017,01-Nov-17,03-Nov-17,BB,"9,600.00",800,727.1,1,-9.11
Khadim India Limited IPO,2017,02-Nov-17,06-Nov-17,BB,543.06,750,688.85,1,-8.15
HDFC Standard Life Insurance Company Ltd IPO,2017,07-Nov-17,09-Nov-17,BB,"8,695.01",290,344.6,1,18.83
Shalby Limited IPO,2017,05-Dec-17,07-Dec-17,BB,504.8,248,239.6,1,-3.39
Future Supply Chain Solutions Ltd IPO,2017,06-Dec-17,08-Dec-17,BB,649.7,664,686.35,1,3.37
Astron Paper & Board Mill Ltd IPO,2017,15-Dec-17,20-Dec-17,BB,70,50,120.75,1,141.5
Apollo Micro Systems Limited IPO,2018,10-Jan-18,12-Jan-18,BB,156,275,441.75,1,60.64
Newgen Software Technologies Limited IPO,2018,16-Jan-18,18-Jan-18,BB,424.62,245,252.4,1,3.02
Amber Enterprises India Limited IPO,2018,17-Jan-18,19-Jan-18,BB,600,859,1245.25,1,44.97
Galaxy Surfactants Limited IPO,2018,29-Jan-18,31-Jan-18,BB,937.09,"1,480.00",1700.45,1,14.9
Aster DM Healthcare Ltd IPO,2018,12-Feb-18,15-Feb-18,BB,980.14,190,181.55,1,-4.45
H.G. Infra Engineering Ltd IPO,2018,26-Feb-18,28-Feb-18,BB,462,270,267.75,1,-0.83
Bharat Dynamics Ltd IPO,2018,13-Mar-18,15-Mar-18,BB,960.94,428,389.8,1,-8.93
Bandhan Bank Limited IPO,2018,15-Mar-18,19-Mar-18,BB,"4,473.02",375,476.85,1,27.16
Hindustan Aeronautics Limited IPO,2018,16-Mar-18,20-Mar-18,BB,"4,144.06","1,215.00",1132.85,1,-6.76
Karda Construction Ltd IPO,2018,16-Mar-18,21-Mar-18,BB,77.4,180,142.8,1,-20.67
Sandhar Technologies Limited IPO,2018,19-Mar-18,21-Mar-18,BB,565.6,332,322.15,1,-2.97
Mishra Dhatu Nigam Limited IPO,2018,21-Mar-18,23-Mar-18,BB,438.38,90,90.05,1,0.06
ICICI Securities Ltd IPO,2018,22-Mar-18,26-Mar-18,BB,"4,016.97",520,445.1,1,-14.4
Lemon Tree Hotels Limited IPO,2018,26-Mar-18,28-Mar-18,BB,"1,038.68",56,71.65,1,27.95
IndoStar Capital Finance Limited IPO,2018,09-May-18,11-May-18,BB,"1,844.00",572,586.1,1,2.47
RITES Limited IPO,2018,20-Jun-18,22-Jun-18,BB,460.51,185,213.3,1,15.3
Fine Organic Industries Limited IPO,2018,20-Jun-18,22-Jun-18,BB,600.2,783,822.8,1,5.08
Varroc Engineering Limited IPO,2018,26-Jun-18,28-Jun-18,BB,"1,945.77",967,1037.35,1,7.28
TCNS Clothing Co. Limited IPO,2018,18-Jul-18,20-Jul-18,BB,"1,125.13",716,659.15,1,-7.94
HDFC Asset Management Company Limited IPO,2018,25-Jul-18,27-Jul-18,BB,"2,800.33","1,100.00",1815.95,1,65.09
CreditAccess Grameen Limited IPO,2018,08-Aug-18,10-Aug-18,BB,"1,131.19",422,422.05,1,0.01
IRCON International Limited IPO,2018,17-Sep-18,19-Sep-18,BB,470.49,475,415.3,1,-12.57
Garden Reach Shipbuilders & Engineers Limited IPO,2018,24-Sep-18,01-Oct-18,BB,344.69,118,103.3,1,-12.46
Aavas Financiers Limited IPO,2018,25-Sep-18,27-Sep-18,BB,"1,734.07",821,774.35,1,-5.68
Dinesh Engineers Limited IPO,2018,28-Sep-18,03-Oct-18,BB,,,,0,0
Chalet Hotels Limited IPO,2019,29-Jan-19,31-Jan-19,BB,"1,641.18",280,291.7,1,4.18
MSTC Limited IPO,2019,13-Mar-19,20-Mar-19,BB,212.04,120,113.95,1,-5.04
Rail Vikas Nigam Limited IPO,2019,29-Mar-19,03-Apr-19,BB,481.57,19,19.05,1,0.26
Metropolis Healthcare Limited IPO,2019,03-Apr-19,05-Apr-19,BB,"1,204.29",880,959.85,1,9.07
Polycab India Limited IPO,2019,05-Apr-19,09-Apr-19,BB,"1,346.00",538,654.8,1,21.71
Neogen Chemicals Limited IPO,2019,24-Apr-19,26-Apr-19,BB,132.35,215,263.55,1,22.58
IndiaMART InterMESH Limited IPO,2019,24-Jun-19,26-Jun-19,BB,475.59,973,1181,1,21.38
